Data_File_Version,Data_File_Timestamp,Player,Roster_Status,Original_75_Invitee,Additional_StatLab_Only,Height,Height_in,Height_from_2025_combine_heights_csv,Wingspan,Wingspan_in,Standing_Reach,Standing_Reach_in,Hand_Length,Hand_Width,Has_Hand_Length,Has_Hand_Width,Has_Hand_Data,Lane_Agility_Time,Shuttle_Run,G,GS,MP,DWS,DBPM,WS,DWS_per_1000_MP,PlayerID,Modeling_Ready,Source_File_1,Source_File_2,Source_File_3,Weight_lbs,Measurement_Source,Stats_Source,Notes
v2,20260516_031444_CT,Ace Bailey,Original 75 Invitee,Yes,No,"6' 7.50""",79.5,"6' 7.50""","7' 0.50""",84.5,"8' 11.00""",107.0,8.5,9.0,True,True,True,10.97,2.78,72.0,61.0,1988.0,0.3,-2.5,-0.1,0.1509054325955734,baileac01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,202.8,Claude spreadsheet; primary source reported as Yahoo/Sporting News; NBA Stat Lab paste override/addition; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Adou Thiero,Original 75 Invitee,Yes,No,"6' 6.25""",78.25,"6' 6.25""","7' 0.00""",84.0,"8' 8.50""",104.5,9.0,10.25,True,True,True,,,25.0,0.0,149.0,0.2,-0.2,0.2,1.342281879194631,thierad01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,218.4,Claude spreadsheet; primary source reported as Yahoo/Sporting News; NBA.com / NBADraft.net correction noted in audit; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,Corrected likely typo: wingspan 7-9 replaced with 7-0.00 per audit summary.
v2,20260516_031444_CT,Alex Condon,Original 75 Invitee,Yes,No,"6' 11.25""",83.25,"6' 11.25""","7' 0.75""",84.75,"8' 11.50""",107.5,9.25,9.75,True,True,True,11.57,2.76,,,,,,,,,No,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,221.8,Claude spreadsheet; primary source reported as Yahoo/Sporting News; NBA Stat Lab paste override/addition; Copilot final 75 roster backbone,,Not matched to Basketball Reference rookie table.
v2,20260516_031444_CT,Alex Toohey,Original 75 Invitee,Yes,No,"6' 7.75""",79.75,"6' 7.75""","6' 10.75""",82.75,"8' 8.50""",104.5,9.0,10.25,True,True,True,11.38,2.9,,,,,,,,,No,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,222.8,Claude spreadsheet; primary source reported as Yahoo/Sporting News; NBA Stat Lab paste override/addition; Copilot final 75 roster backbone,,Not matched to Basketball Reference rookie table.
v2,20260516_031444_CT,Alijah Martin,Original 75 Invitee,Yes,No,,,,,,,,8.25,9.25,True,True,True,11.06,3.05,,,,,,,,,No,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,,Copilot final 75 combine table; Hoops Rumors/NBA announced invitee list,,
v2,20260516_031444_CT,Asa Newell,Original 75 Invitee,Yes,No,"6' 9.00""",81.0,"6' 9.00""","6' 11.25""",83.25,"8' 11.50""",107.5,9.25,10.0,True,True,True,10.95,2.78,44.0,2.0,500.0,0.6,-0.5,1.2,1.2,newelas01,Yes,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,233.8,Claude spreadsheet; primary source reported as Yahoo/Sporting News; NBA Stat Lab paste override/addition; Copilot final 75 roster backbone,Basketball Reference rookie + advanced tables,
v2,20260516_031444_CT,Ben Henshall,Original 75 Invitee,Yes,No,,,,,,,,8.0,8.0,True,True,True,10.49,3.0,,,,,,,,,No,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,,Copilot final 75 combine table; Hoops Rumors/NBA announced invitee list,,
v2,20260516_031444_CT,Ben Saraf,Original 75 Invitee,Yes,No,,,,,,,,9.44,8.07,True,True,True,11.1,,,,,,,,,,No,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,,Copilot final 75 combine table; Hoops Rumors/NBA announced invitee list,,
v2,20260516_031444_CT,Bogoljub Markovic,Original 75 Invitee,Yes,No,"6' 10.50""",82.5,"6' 10.50""",,,,,8.25,9.75,True,True,True,11.4,2.96,,,,,,,,,No,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,,NBA Stat Lab paste in ChatGPT conversation; Copilot final 75 roster backbone,,Added from user-provided Stat Lab text Not matched to Basketball Reference rookie table.
v2,20260516_031444_CT,Boogie Fland,Original 75 Invitee,Yes,No,"6' 2.00""",74.0,"6' 2.00""","6' 6.00""",78.0,"8' 2.00""",98.0,8.5,9.0,True,True,True,,,,,,,,,,,No,clean_2025_combine_rookie_dws_master.csv,2025_combine_heights.csv,clean_2025_combine_rookie_dws_master_with_full_visible_agility_shuttle.csv,172.4,Claude spreadsheet; primary source reported as Yahoo/Sporting News; Copilot final 75 roster backbone,,Not matched to Basketball Reference rookie table.
