Draft_Year,Outcome_Season,Player,POS,Height_in,Wingspan_in,Standing_Reach_in,Hand_Length,Hand_Width,Weight_lbs,Lane_Agility_Time,Shuttle_Run,Three_Quarter_Sprint,Standing_Vertical_Leap,Max_Vertical_Leap,G,GS,MP,DWS,WS,OBPM,DBPM,BPM,Has_Preferred_Model_Inputs,Has_NBA_Outcome,Exclude_From_Modeling,Modeling_Row_DBPM,Height,Wingspan,Standing_Reach,Max_Bench_Press,Modeling_Row_DBPM_Expanded_No_Shuttle,Final_Model_Formula
2023,2023-24,Adam Flagler,PG,73.0,76.5,97.0,8.0,9.25,191.8,10.96,,3.24,31.0,36.0,2.0,0.0,14.0,0.0,0.0,-6.7,-3.9,-10.6,False,True,False,False,6' 1.00'',6' 4.50'',8' 1.00'',,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Adama Sanogo,C,79.25,86.75,108.5,9.75,10.0,257.8,11.5,,3.31,28.5,31.0,9.0,0.0,66.0,0.1,0.2,-0.4,-6.3,-6.7,False,True,False,False,6' 7.25'',7' 2.75'',9' 0.50'',,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Adem Bona,C,80.25,,110.5,9.25,10.0,243.4,,,,,,,,,,,,,,False,False,False,False,6' 8.25'',,9' 2.50'',,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Amari Bailey,SG,75.25,79.0,103.5,8.0,9.25,190.8,11.34,,3.19,28.5,35.0,10.0,0.0,65.0,0.0,-0.1,-5.2,-3.1,-8.3,False,True,False,False,6' 3.25'',6' 7.00'',8' 7.50'',,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Amen Thompson,SG,77.75,84.0,103.5,8.5,8.5,214.2,,,,,,62.0,23.0,1388.0,2.4,4.3,-0.1,1.9,1.8,False,True,False,False,6' 5.75'',7' 0.00'',8' 7.50'',,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Andre Jackson Jr.,SF,77.5,81.75,103.0,8.25,9.5,198.4,10.83,,3.14,30.5,39.5,57.0,8.0,572.0,0.5,1.0,-3.6,0.0,-3.6,False,True,False,False,6' 5.50'',6' 9.75'',8' 7.00'',,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Anthony Black,PG,77.75,79.5,102.5,8.25,9.5,210.0,11.04,,3.35,32.0,39.0,69.0,33.0,1164.0,1.5,1.6,-3.8,0.8,-3.0,False,True,False,False,6' 5.75'',6' 7.50'',8' 6.50'',,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Arthur Kaluma,PF,78.25,84.5,103.5,8.5,10.0,221.8,11.35,3.26,3.44,32.5,34.5,,,,,,,,,True,False,False,False,6' 6.25'',7' 0.50'',8' 7.50'',,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Ausar Thompson,SG,77.75,84.0,104.0,8.75,9.25,218.2,,,,,,63.0,38.0,1583.0,1.7,1.8,-2.8,0.6,-2.2,False,True,False,False,6' 5.75'',7' 0.00'',8' 8.00'',,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Azuolas Tubelis,PF,80.75,83.0,108.0,9.0,10.5,234.8,11.17,,3.5,23.5,30.5,,,,,,,,,False,False,False,False,6' 8.75'',6' 11.00'',9' 0.00'',,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Ben Sheppard,SG,77.25,79.75,100.0,8.5,9.5,194.6,10.88,2.98,3.17,29.5,35.5,57.0,1.0,814.0,0.4,0.8,-3.3,-0.1,-3.4,True,True,False,True,6' 5.25'',6' 7.75'',8' 4.00'',,True,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Bilal Coulibaly,SG-SF,,,,,,,,,,,,63.0,15.0,1715.0,0.9,0.4,-3.6,-0.5,-4.2,False,True,False,False,,,,,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Bobi Klintman,PF,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Brandin Podziemski,SG,75.75,77.5,96.5,8.25,10.0,203.8,11.16,3.2,3.21,31.5,39.0,74.0,28.0,1968.0,2.0,4.1,-0.5,0.4,-0.1,True,True,False,True,6' 3.75'',6' 5.50'',8' 0.50'',,True,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Brandon Miller,SF,,,,,,,,,,,,74.0,68.0,2383.0,1.0,0.8,-0.9,-1.6,-2.6,False,True,False,False,,,,,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Brice Sensabaugh,SF,,,,,,,,,,,,32.0,11.0,584.0,0.2,-0.3,-3.3,-2.1,-5.5,False,True,False,False,,,,,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Cam Whitmore,SF,77.75,80.5,103.5,8.0,8.25,235.0,10.82,3.33,3.2,31.5,40.5,47.0,2.0,880.0,1.1,1.5,1.0,-0.9,0.1,True,True,False,True,6' 5.75'',6' 8.50'',8' 7.50'',,True,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Cason Wallace,PG,74.5,80.5,101.0,8.5,9.25,195.2,10.82,,3.34,28.0,36.0,82.0,13.0,1692.0,2.1,4.0,-0.9,1.0,0.1,False,True,False,False,6' 2.50'',6' 8.50'',8' 5.00'',,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Chris Livingston,SF,78.0,83.25,104.5,8.5,9.0,219.2,11.65,,3.27,30.5,37.0,21.0,0.0,90.0,0.1,0.1,-7.0,-1.0,-8.0,False,True,False,False,6' 6.00'',6' 11.25'',8' 8.50'',,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Colby Jones,SG,76.5,80.0,103.0,8.25,8.5,199.2,11.14,3.13,3.33,30.5,35.0,30.0,0.0,192.0,0.2,0.0,-5.4,0.4,-5.0,True,True,False,True,6' 4.50'',6' 8.00'',8' 7.00'',,True,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Coleman Hawkins,PF,80.5,84.25,108.5,8.75,8.75,224.4,12.14,,3.37,26.5,32.5,,,,,,,,,False,False,False,False,6' 8.50'',7' 0.25'',9' 0.50'',,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Dariq Whitehead,SG,77.75,82.25,103.5,8.5,10.0,217.2,,,,,,2.0,0.0,24.0,0.0,0.0,-5.5,-2.4,-7.9,False,True,False,False,6' 5.75'',6' 10.25'',8' 7.50'',,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,DaRon Holmes II,C,81.0,84.5,109.0,8.5,9.5,220.8,11.48,,3.2,29.5,35.0,,,,,,,,,False,False,False,False,6' 9.00'',7' 0.50'',9' 1.00'',,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Dereck Lively Jr.,C,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Dillon Mitchell,PF,78.75,82.0,105.0,8.25,9.5,193.0,10.92,,3.32,29.0,37.0,,,,,,,,,False,False,False,False,6' 6.75'',6' 10.00'',8' 9.00'',,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Drew Timme,C,80.75,85.75,108.5,9.0,10.0,243.2,10.93,,3.34,26.0,30.5,,,,,,,,,False,False,False,False,6' 8.75'',7' 1.75'',9' 0.50'',,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Emoni Bates,SF,80.25,81.0,105.0,8.0,8.25,179.2,11.54,,3.49,27.0,32.5,15.0,0.0,133.0,0.1,-0.3,-6.2,-3.0,-9.2,False,True,False,False,6' 8.25'',6' 9.00'',8' 9.00'',,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,GG Jackson,PF,80.25,83.5,106.0,8.5,10.0,214.4,11.39,,3.21,31.0,37.0,,,,,,,,,False,False,False,False,6' 8.25'',6' 11.50'',8' 10.00'',,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Gradey Dick,SG,78.25,80.75,101.0,8.25,9.0,204.0,11.13,2.98,3.5,29.0,34.0,60.0,17.0,1268.0,0.4,0.3,-3.2,-2.2,-5.4,True,True,False,True,6' 6.25'',6' 8.75'',8' 5.00'',,True,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Grant Nelson,PF,82.0,84.0,106.5,9.0,9.5,223.4,9.99,,3.21,32.0,35.5,,,,,,,,,False,False,False,False,6' 10.00'',7' 0.00'',8' 10.50'',,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Isaiah Wong,SG,74.5,78.75,97.5,8.25,9.5,178.4,10.93,,3.22,32.5,37.0,1.0,0.0,4.0,0.0,0.0,-11.3,-7.7,-19.0,False,True,False,False,6' 2.50'',6' 6.75'',8' 1.50'',,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Jaime Jaquez Jr.,SF,78.0,81.5,99.5,8.5,9.5,226.4,11.21,,3.33,34.5,39.0,75.0,20.0,2113.0,2.7,4.0,-2.2,0.3,-1.9,False,True,False,False,6' 6.00'',6' 9.50'',8' 3.50'',,False,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
