Draft_Year,Outcome_Season,Player,POS,Height_in,Wingspan_in,Standing_Reach_in,Hand_Length,Hand_Width,Weight_lbs,Lane_Agility_Time,Shuttle_Run,Three_Quarter_Sprint,Standing_Vertical_Leap,Max_Vertical_Leap,G,GS,MP,DWS,WS,OBPM,DBPM,BPM,Has_Preferred_Model_Inputs,Has_NBA_Outcome,Exclude_From_Modeling,Modeling_Row_DBPM,Height,Wingspan,Standing_Reach,Max_Bench_Press,Modeling_Row_DBPM_Expanded_No_Shuttle,Final_Model_Formula,Final_Model_Minutes_Restriction,Final_Model_Formula_MP100
2023,2023-24,Ben Sheppard,SG,77.25,79.75,100.0,8.5,9.5,194.6,10.88,2.98,3.17,29.5,35.5,57.0,1.0,814.0,0.4,0.8,-3.3,-0.1,-3.4,True,True,False,True,6' 5.25'',6' 7.75'',8' 4.00'',,True,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs,MP >= 100,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Brandin Podziemski,SG,75.75,77.5,96.5,8.25,10.0,203.8,11.16,3.2,3.21,31.5,39.0,74.0,28.0,1968.0,2.0,4.1,-0.5,0.4,-0.1,True,True,False,True,6' 3.75'',6' 5.50'',8' 0.50'',,True,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs,MP >= 100,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Cam Whitmore,SF,77.75,80.5,103.5,8.0,8.25,235.0,10.82,3.33,3.2,31.5,40.5,47.0,2.0,880.0,1.1,1.5,1.0,-0.9,0.1,True,True,False,True,6' 5.75'',6' 8.50'',8' 7.50'',,True,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs,MP >= 100,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Colby Jones,SG,76.5,80.0,103.0,8.25,8.5,199.2,11.14,3.13,3.33,30.5,35.0,30.0,0.0,192.0,0.2,0.0,-5.4,0.4,-5.0,True,True,False,True,6' 4.50'',6' 8.00'',8' 7.00'',,True,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs,MP >= 100,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Gradey Dick,SG,78.25,80.75,101.0,8.25,9.0,204.0,11.13,2.98,3.5,29.0,34.0,60.0,17.0,1268.0,0.4,0.3,-3.2,-2.2,-5.4,True,True,False,True,6' 6.25'',6' 8.75'',8' 5.00'',,True,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs,MP >= 100,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Jalen Pickett,PG,74.0,79.25,98.5,8.5,7.5,197.8,11.91,3.41,3.35,28.5,33.0,27.0,0.0,122.0,0.1,0.2,-2.7,-0.5,-3.3,True,True,False,True,6' 2.00'',6' 7.25'',8' 2.50'',,True,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs,MP >= 100,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Jalen Wilson,SF,77.5,80.0,99.5,8.25,9.0,230.2,11.26,3.15,3.2,31.5,35.0,43.0,3.0,664.0,0.4,1.1,-1.8,-1.1,-2.9,True,True,False,True,6' 5.50'',6' 8.00'',8' 3.50'',,True,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs,MP >= 100,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Julian Strawther,SF,78.0,81.25,105.0,8.25,8.25,208.8,10.94,3.46,3.31,27.5,34.5,50.0,0.0,545.0,0.6,0.2,-4.6,-1.4,-6.0,True,True,False,True,6' 6.00'',6' 9.25'',8' 9.00'',,True,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs,MP >= 100,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Kobe Brown,PF,78.5,84.75,106.5,8.75,9.75,252.2,11.39,3.23,3.33,28.5,32.0,44.0,0.0,394.0,0.3,0.5,-4.0,0.2,-3.8,True,True,False,True,6' 6.50'',7' 0.75'',8' 10.50'',,True,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs,MP >= 100,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
2023,2023-24,Olivier-Maxence Prosper,PF,78.75,85.0,104.0,8.25,10.0,212.4,10.59,3.0,3.21,35.0,40.5,40.0,1.0,336.0,0.3,0.5,-1.7,-1.3,-2.9,True,True,False,True,6' 6.75'',7' 1.00'',8' 8.00'',,True,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs,MP >= 100,DBPM ~ Hand_Width + Standing_Vertical_Leap + Lane_Agility_Time + Wingspan_in + Weight_lbs
